School,2022,2019,Change,Town,Population,Is Rural
Prattville Primary School,82,90,,Prattville,38286,
Loxley Elementary School,82,83,,Loxley,4111,
Robertsdale Elementary School,82,85,,Robertsdale,6916,
Princeton School,82,87,,Birmingham,197575,
Boaz Elementary School,82,88,,Boaz,10161,
White Plains High School,82,80,,Anniston,21157,
Ashland Elementary School,82,84,,Ashland,1969,
New Brockton High School,82,87,,New Brockton,1437,
Colbert Heights Elementary School,82,86,,Tuscumbia,9068,
Hanceville High School,82,82,,Hanceville,3215,
Decatur High School,82,76,,Decatur,57804,
Sylvania School,82,88,,Sylvania,1800,
Valley Head High School,82,81,,Valley Head,582,
Eclectic Middle School,82,86,,Eclectic,1224,
Stanhope Elmore High School,82,83,,Millbrook,17217,
Southside High School,82,87,,Southside,9465,
Berry Elementary School,82,79,,Berry,1204,
